name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
728277_2_20ch0,220720,728277,728290,41:09.0,41:09.0,201.0666066,201.246118,210.2379604,17100,623.1980515,1.807366379,ch0,0,4,0,1.748941166,0.71335065,352.68448,8601.603,250.51028,0,1.5812247
1003345_1_20ch0,220720,1003345,1003360,41:16.0,41:16.0,231.1680594,215.8703314,228.035085,22300,794.2640687,2.251205314,ch0,0,0,0,1.586790677,0.15008743,352.668,8596.316,250.90231,0,0.2877712
1003345_2_20ch0,220720,1003345,1003355,41:16.0,41:16.0,113.9359904,104.4030651,114.0175425,3800,242.4264069,1.230740207,ch0,0,0,0,2.624971696,0.15008743,352.668,8596.316,250.90231,0,0.2877712
1016899_1_20ch0,220720,1016899,1016909,41:16.5,41:16.5,101.5000769,100.4987562,110.4536102,3800,226.5685425,1.074993309,ch0,0,0,0,1.925728377,0.26495028,352.70404,8595.919,250.58342,0.037641834,0.22613941
1016899_2_20ch0,220720,1016899,1016911,41:16.5,41:16.5,179.5678157,180.2775638,194.1648784,16000,657.9898987,2.15332016,ch0,0,0,0,1.332238916,0.26495028,352.70404,8595.919,250.58342,0.037641834,0.22613941
1084989_1_20ch0,220720,1084989,1085000,41:18.0,41:18.0,140.7717059,117.0469991,134.1640786,3500,266.9238816,1.619932636,ch0,0,0,0,3.016085732,-0.17811881,352.7998,8596.436,250.37033,0.013303516,0.34047815
1084989_2_20ch0,220720,1084989,1085008,41:18.0,41:18.0,312.4868558,311.44823,321.4031736,40000,964.2640687,1.84978866,ch0,0,0,0,1.772204992,-0.17811881,352.7998,8596.436,250.37033,0.013303516,0.34047815
1154864_1_20ch0,220720,1154864,1154875,41:19.5,41:19.5,136.2755332,114.0175425,130.3840481,4500,333.492424,1.966751849,ch0,0,0,0,1.955565247,-0.7093752,352.70816,8597.584,250.48871,0.006444687,0.2351761
1154864_2_20ch0,220720,1154864,1154883,41:19.5,41:19.5,221.8455183,226.715681,236.0084744,28300,825.9797975,1.918414952,ch0,0,0,0,1.148888595,-0.7093752,352.70816,8597.584,250.48871,0.006444687,0.2351761
1271379_1_20ch0,220720,1271379,1271390,41:25.0,41:25.0,117.2968885,110.4536102,120.4159458,3700,287.2792206,1.774993797,ch0,0,0,0,2.029597279,-0.6525416,352.17792,8608.525,250.85281,0.019161172,0.12359617
1271379_2_20ch0,220720,1271379,1271395,41:25.0,41:25.0,314.5352688,300.8321791,313.8470965,29200,1171.543289,3.740450966,ch0,0,0,0,2.131448183,-0.6525416,352.17792,8608.525,250.85281,0.019161172,0.12359617
1336131_1_20ch0,220720,1336131,1336145,45:31.4,45:31.4,342.2161127,335.2610923,347.8505426,30500,1014.619408,2.685941981,ch0,0,0,0,2.731910776,-2.0839636,326.39716,9163.603,246.5128,0.032351337,0.15119475
1336131_2_20ch0,220720,1336131,1336140,45:31.4,45:31.4,127.986401,108.1665383,122.0655562,3700,273.137085,1.604537059,ch0,0,0,0,2.717124718,-2.0839636,326.39716,9163.603,246.5128,0.032351337,0.15119475
1515314_2_20ch0,220720,1515314,1515332,45:41.1,45:41.1,267.601083,243.3105012,254.9509757,23600,1307.106781,5.761031748,ch0,0,0,0,1.398055205,0.42521024,326.26947,9166.743,246.44398,0,0.061303623
1515314_3_20ch0,220720,1515314,1515325,45:41.1,45:41.1,129.8498926,120.8304597,130,3100,254.8528137,1.667275267,ch0,0,0,0,2.613319287,0.42521024,326.26947,9166.743,246.44398,0,0.061303623
1556579_1_20ch0,220720,1556579,1556613,03:17.7,03:17.7,499.9985674,499.2995093,507.740091,78200,2420.365799,5.96136067,ch0,0,0,0,1.67174495,-0.15480985,407.5325,7520.274,257.93588,1.13E-05,0.04687581
1556579_5_20ch0,220720,1556579,1556588,03:17.7,03:17.7,110.1190369,106.3014581,122.0655562,5500,318.6396103,1.469017505,ch0,0,7,0,1.517029548,-0.15480985,407.5325,7520.274,257.93588,1.13E-05,0.04687581
1589447_1_20ch0,220720,1589447,1589455,03:22.1,03:22.1,117.3352522,100,114.0175425,4400,273.137085,1.3492698,ch0,0,0,0,2.295939443,-0.16766202,407.7271,7515.736,258.02695,0,0.22394933
1589447_2_20ch0,220720,1589447,1589468,03:22.1,03:22.1,299.8142878,297.3213749,311.44823,33800,1111.543289,2.908882627,ch0,0,0,0,1.777586277,-0.16766202,407.7271,7515.736,258.02695,0,0.22394933
1595927_1_20ch0,220720,1595927,1595938,03:22.7,03:22.7,134.9470929,120.8304597,134.1640786,4700,296.9238816,1.492734384,ch0,0,0,0,2.560188011,-0.26975507,407.73843,7515.902,258.0358,0,0.16268484
1595927_2_20ch0,220720,1595927,1595953,03:22.7,03:22.7,413.4972481,386.3935817,398.1205847,47700,1536.751442,3.939843905,ch0,0,0,0,2.347697336,-0.26975507,407.73843,7515.902,258.0358,0,0.16268484
1605433_1_20ch0,220720,1605433,1605451,03:23.3,03:23.3,278.3011511,272.0294102,286.0069929,30100,805.2691193,1.714374627,ch0,12,0,0,1.82204793,-0.26975507,407.73843,7515.902,258.0358,0.005497098,0.18796568
1605433_2_20ch0,220720,1605433,1605442,03:23.3,03:23.3,131.5844369,108.1665383,122.0655562,3200,248.6396103,1.537378455,ch0,0,0,0,2.66628919,-0.26975507,407.73843,7515.902,258.0358,0.005497098,0.18796568
1627673_1_20ch0,220720,1627673,1627770,03:24.5,03:24.5,995.9827206,1011.33575,1021.567423,221400,4922.680733,8.70995396,ch0,0,70,0,2.487781452,-0.18200609,407.65503,7517.9053,257.95425,0.0148163,0.12949371
1627673_4_20ch0,220720,1627673,1627686,03:24.5,03:24.5,160.781605,158.113883,172.0465053,12700,548.3452378,1.884059297,ch0,0,2,0,1.316406582,-0.18200609,407.65503,7517.9053,257.95425,0.0148163,0.12949371
